viajero_id,ciudad_origen,destino_preferido,tipo_viaje,canal_reserva,edad,gasto_promedio_cop,frecuencia_anual,noches_promedio,satisfaccion
VCO0001,Manizales,Eje Cafetero,Aventura,App móvil,18,345617,2.7,4.1,3.7
VCO0002,Bogotá,Medellín,Cultural,Reserva directa,46,1940263,1.2,2.2,5.0
VCO0003,Barranquilla,San Andrés,Descanso,Agencia tradicional,40,1309613,3.2,3.2,4.6
VCO0004,Barranquilla,Cartagena,Descanso,Reserva directa,33,932102,1.7,6.6,4.0
VCO0005,Bogotá,Santa Marta,Aventura,Recomendación,30,310989,2.0,4.3,3.0
VCO0006,Manizales,Eje Cafetero,Aventura,App móvil,35,235099,5.1,4.3,4.8
VCO0007,Pereira,Eje Cafetero,Aventura,App móvil,31,405513,6.3,3.6,4.0
VCO0008,Bogotá,Cartagena,Gastronómico,Reserva directa,42,2225307,1.0,5.6,5.0
VCO0009,Bogotá,San Andrés,Gastronómico,Reserva directa,40,1417044,2.0,8.0,3.8
VCO0010,Medellín,Santa Marta,Gastronómico,Reserva directa,41,1207711,1.0,4.6,3.9
VCO0011,Manizales,Eje Cafetero,Ecoturismo,App móvil,29,549793,6.6,3.9,3.9
VCO0012,Cali,Villa de Leyva,Descanso,Reserva directa,43,3127851,2.0,5.2,4.2
VCO0013,Bogotá,Cartagena,Cultural,Agencia tradicional,41,2473021,1.1,4.5,4.6
VCO0014,Cali,Amazonas,Cultural,App móvil,25,575946,4.9,2.7,4.5
VCO0015,Manizales,Amazonas,Ecoturismo,App móvil,22,244482,3.7,3.1,3.6
VCO0016,Bogotá,Eje Cafetero,Aventura,Recomendación,24,351608,4.3,5.4,3.8
VCO0017,Medellín,Santa Marta,Cultural,Reserva directa,19,364369,4.4,3.1,4.4
VCO0018,Bogotá,Cartagena,Cultural,Agencia tradicional,30,1007042,1.8,8.1,4.3
VCO0019,Bogotá,Cartagena,Descanso,App móvil,38,1117073,1.3,6.4,4.5
VCO0020,Manizales,Santa Marta,Aventura,App móvil,21,310109,5.8,2.4,4.6
VCO0021,Cúcuta,Eje Cafetero,Gastronómico,Agencia tradicional,41,1262888,1.4,5.5,4.2
VCO0022,Cali,Villa de Leyva,Ecoturismo,App móvil,31,322654,4.8,4.1,3.3
VCO0023,Manizales,Eje Cafetero,Cultural,Recomendación,29,269445,5.4,4.4,4.8
VCO0024,Bogotá,Eje Cafetero,Ecoturismo,Recomendación,19,353826,5.2,4.7,4.8
VCO0025,Bogotá,Cartagena,Cultural,Agencia tradicional,39,1208606,2.9,6.0,4.7
VCO0026,Bogotá,Medellín,Gastronómico,Reserva directa,46,2630868,2.6,4.8,4.8
VCO0027,Medellín,Santa Marta,Aventura,App móvil,22,450411,3.0,3.0,3.9
VCO0028,Bogotá,Cartagena,Gastronómico,Agencia tradicional,30,1624326,1.0,5.7,4.0
